DIST_CODE,DIST_NAME,MEDIAN_CLASS_SIZE,STU:TCHR_RATIO,WEIGHTED_AVG_STU:TCHR+AIDE_RATIO,PREK_CURRICULA_MostSchool,PREK_Curricula_MostSchools_Count,PREK_CURRICULA_Available,Cnt_PreK_FullANDHalfDay,Cnt_PreK_FullDay_Only,Cnt_PreK_HalfDay_Only,Cnt_PreK_FullDayAvailable,Cnt_PreK_HalfDayAvailable,ADA_Eligible,ADA_Ineligible,PK_Total_Enrollment_21_22
073905,ROSEBUD-LOTT ISD,20,20:1,20:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,22,13,35
074903,BONHAM ISD,20,19:1,14:1,Other,1,Other,1,0,0,1,1,143,7,150
074904,DODD CITY ISD,17,17:1,17:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,5,8,13
074905,ECTOR ISD,12,12:1,12:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,13
074907,HONEY GROVE ISD,14,14:1,14:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,14,13,27
074909,LEONARD ISD,18,18:1,18:1,Other,1,Other,1,0,0,1,1,*,*,18
074911,SAVOY ISD,21,21:1,21:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,8,10,18
074912,TRENTON ISD,19,19:1,19:1,Other,1,Other,0,1,0,1,0,19,19,38
074917,SAM RAYBURN ISD,12,12:1,12:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,18,16,34
075901,FLATONIA ISD,22,22:1,22:1,Other,1,Other,1,0,0,1,1,16,19,35
075902,LA GRANGE ISD,22,21:1,21:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,1,0,1,0,53,"",53
075903,SCHULENBURG ISD,21,20:1,13:1,Frog Street-E,1,Frog Street-E,0,0,1,0,1,29,8,37
075906,FAYETTEVILLE ISD,13,13:1,13:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,13
075908,ROUND TOP-CARMINE ISD,10,10:1,10:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,9
076903,ROBY CISD,15,15:1,15:1,Savvas-E,1,Savvas-E,0,1,0,1,0,5,6,11
076904,ROTAN ISD,12,12:1,12:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,28
077901,FLOYDADA COLLEGIATE ISD,17,17:1,17:1,Savvas-E,1,Savvas-E,0,1,0,1,0,43,6,49
077902,LOCKNEY ISD,21,21:1,14:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,20,"",20
078901,CROWELL ISD,8,16:1,16:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,9,9,18
079901,LAMAR CISD,20,18:1,15:1,Frog Street-E,19,"Frog Street-E,Frog Street-S",0,19,0,19,0,*,*,1107
079906,NEEDVILLE ISD,22,22:1,22:1,Other,1,Other,0,1,0,1,0,44,"",44
079907,FORT BEND ISD,23,20:1,14:1,Savvas-E,27,"Savvas-E,Savvas-S",0,29,0,29,0,1700,74,1774
079910,STAFFORD MSD,,,,,,,1,0,0,1,1,*,*,222
080901,MOUNT VERNON ISD,14,17:1,11:1,PreK On My Way-E,1,"PreK On My Way-E,PreK On My Way-S",0,1,0,1,0,*,*,49
081902,FAIRFIELD ISD,16,12:1,12:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,58,"",58
081904,TEAGUE ISD,22,15:1,15:1,Savvas-E,1,Savvas-E,0,1,0,1,0,41,"",41
081905,WORTHAM ISD,19,19:1,19:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,17
081906,DEW ISD,12,12:1,12:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,*,*,10
082902,DILLEY ISD,19,19:1,19:1,PreK On My Way-E,1,PreK On My Way-E,1,0,0,1,1,*,*,77
082903,PEARSALL ISD,21,17:1,17:1,Other,1,Other,1,0,0,1,1,76,9,85
083901,SEAGRAVES ISD,41,41:1,41:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,38
083903,SEMINOLE ISD,14,10:1,7:1,Other,1,Other,0,1,0,1,0,82,8,90
084802,ODYSSEY ACADEMY INC,19,22:1,15:1,CIRCLE-E,2,"CIRCLE-E,CIRCLE-S",1,1,0,2,1,*,*,230
084804,AMBASSADORS PREPARATORY ACADEMY,21,21:1,21:1,Other,1,Other,0,1,0,1,0,*,*,34
084901,DICKINSON ISD,17,23:1,18:1,Other,7,Other,5,0,2,5,7,325,"",325
084902,GALVESTON ISD,19,20:1,20:1,Frog Street-E,7,"Frog Street-E,Frog Street-S",0,7,0,7,0,374,45,419
084903,HIGH ISLAND ISD,2,2:1,2:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,*
084906,TEXAS CITY ISD,17,17:1,16:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,228,"",228
084908,HITCHCOCK ISD,17,17:1,17:1,Other,1,Other,2,0,0,2,2,175,32,207
084909,SANTA FE ISD,17,17:1,14:1,CIRCLE-E,3,CIRCLE-E,0,3,0,3,0,80,27,107
084910,CLEAR CREEK ISD,20,18:1,14:1,Other,19,Other,7,11,1,18,8,783,105,888
084911,FRIENDSWOOD ISD,20,20:1,20:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,33,"",33
085902,POST ISD,17,17:1,17:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,41,8,49
086024,DOSS CONSOLIDATED CSD,4,4:1,4:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,"",*,*
086901,FREDERICKSBURG ISD,18,14:1,14:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,149
086902,HARPER ISD,9,9:1,9:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,10,5,15
087901,GLASSCOCK COUNTY ISD,11,11:1,11:1,Other,1,Other,0,1,0,1,0,5,13,18
088902,GOLIAD ISD,8,13:1,9:1,Other,1,Other,0,1,0,1,0,38,20,58
089901,GONZALES ISD,25,25:1,25:1,CIRCLE-E,1,"CIRCLE-E,CIRCLE-S",0,1,0,1,0,90,17,107
089903,NIXON-SMILEY CISD,21,18:1,14:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,76,20,96
089905,WAELDER ISD,15,10:1,10:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,26,"",26
090902,LEFORS ISD,14,14:1,14:1,Other,1,Other,0,1,0,1,0,*,*,11
090903,MCLEAN ISD,14,14:1,14:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,*,*,8
090904,PAMPA ISD,20,19:1,19:1,Frog Street-E,2,"Frog Street-E,Frog Street-S",1,1,0,2,1,150,37,187
091901,BELLS ISD,12,12:1,12:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,16,8,24
091902,COLLINSVILLE ISD,19,18:1,14:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,20,14,34
091903,DENISON ISD,18,17:1,12:1,Savvas-E,4,"Savvas-E,Savvas-S",0,5,0,5,0,165,"",165
091905,HOWE ISD,20,20:1,13:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,42,"",42
091906,SHERMAN ISD,17,15:1,15:1,Frog Street-E,2,"Frog Street-E,Frog Street-S",0,2,0,2,0,226,"",226
091907,TIOGA ISD,17,17:1,17:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,13,22,35
091908,VAN ALSTYNE ISD,8,15:1,15:1,Quaver,1,Quaver,0,0,1,0,1,15,"",15
091909,WHITESBORO ISD,19,18:1,18:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,47,6,53
091910,WHITEWRIGHT ISD,17,17:1,17:1,CIRCLE-E,1,CIRCLE-E,0,0,1,0,1,20,9,29
091913,POTTSBORO ISD,19,19:1,19:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,36,"",36
091914,S AND S CISD,13,13:1,8:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,22,5,27
091917,GUNTER ISD,14,14:1,14:1,Frog Street-E,1,Frog Street-E,0,0,1,0,1,13,16,29
091918,TOM BEAN ISD,18,18:1,18:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,22,11,33
092901,GLADEWATER ISD,12,16:1,11:1,PreK On My Way-E,1,PreK On My Way-E,1,0,0,1,1,87,"",87
092902,KILGORE ISD,14,14:1,10:1,Savvas-E,1,"Savvas-E,Savvas-S",0,1,0,1,0,135,"",135
092903,LONGVIEW ISD,7,7:1,6:1,Other,2,Other,0,4,0,4,0,505,8,513
092904,PINE TREE ISD,23,20:1,13:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,175,11,186
092906,SABINE ISD,16,12:1,10:1,Other,1,Other,0,1,0,1,0,32,"",32
